1662638517;1662638524;5;default;xfs;50;init;7.291534;644061736
1662638524;1662638524;5;default;xfs;50;vacuum;0.026849;62768
1662642187;1662642221;5;default;xfs;250;init;33.955166;3220063768
1662642221;1662642221;5;default;xfs;250;vacuum;0.031574;83608
1662646844;1662646985;5;default;xfs;1000;init;141.489030;12880076232
1662646985;1662646985;5;default;xfs;1000;vacuum;0.050809;186048
1662652116;1662652124;5;default;ext4;50;init;8.069296;644061736
1662652124;1662652124;5;default;ext4;50;vacuum;0.028186;62768
1662655787;1662655824;5;default;ext4;250;init;36.591601;3220063784
1662655824;1662655824;5;default;ext4;250;vacuum;0.031627;79920
1662660447;1662660599;5;default;ext4;1000;init;151.853009;12880076224
1662660599;1662660599;5;default;ext4;1000;vacuum;0.049963;185752
1662665749;1662665757;6;default;xfs;50;init;7.605822;644061736
1662665757;1662665757;6;default;xfs;50;vacuum;0.027869;62768
1662669419;1662669455;6;default;xfs;250;init;35.431906;3220063728
1662669455;1662669455;6;default;xfs;250;vacuum;0.031122;82416
1662674078;1662674227;6;default;xfs;1000;init;148.948885;12880076168
1662674227;1662674227;6;default;xfs;1000;vacuum;0.059728;188192
1662679348;1662679357;6;default;ext4;50;init;8.642277;644061736
1662679357;1662679357;6;default;ext4;50;vacuum;0.026369;62768
1662683020;1662683058;6;default;ext4;250;init;38.134482;3220063848
1662683058;1662683058;6;default;ext4;250;vacuum;0.031337;77144
1662687681;1662687841;6;default;ext4;1000;init;159.379026;12880076360
1662687841;1662687841;6;default;ext4;1000;vacuum;0.058615;184112
