run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1663015389.114985|2022-09-12 22:43:09.114985+02|F/41A000|0|1|343772|73|1389|0|0|16393996|0|6528|2022-09-12 22:29:28.618003+02
1|1663015390.124766|2022-09-12 22:43:10.124766+02|F/41B488|0|1|343772|73|1389|0|0|16393996|0|63872|2022-09-12 22:29:28.618003+02
2|1663015391.135103|2022-09-12 22:43:11.135103+02|F/41B488|0|1|343772|73|1389|100|1|16393996|0|133737|2022-09-12 22:29:28.618003+02
3|1663015392.144846|2022-09-12 22:43:12.144846+02|F/41B488|0|1|343772|73|1389|100|1|16393996|0|207178|2022-09-12 22:29:28.618003+02
4|1663015393.158613|2022-09-12 22:43:13.158613+02|F/41B4C0|0|1|343772|73|1389|131|1|16393996|0|281650|2022-09-12 22:29:28.618003+02
5|1663015394.170982|2022-09-12 22:43:14.170982+02|F/41B4C0|0|1|343772|73|1389|139|1|16393996|0|353799|2022-09-12 22:29:28.618003+02
6|1663015395.184377|2022-09-12 22:43:15.184377+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|425719|2022-09-12 22:29:28.618003+02
7|1663015396.197219|2022-09-12 22:43:16.197219+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|497140|2022-09-12 22:29:28.618003+02
8|1663015397.210152|2022-09-12 22:43:17.210152+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|568915|2022-09-12 22:29:28.618003+02
9|1663015398.226136|2022-09-12 22:43:18.226136+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|640104|2022-09-12 22:29:28.618003+02
10|1663015399.240927|2022-09-12 22:43:19.240927+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|710201|2022-09-12 22:29:28.618003+02
11|1663015400.255320|2022-09-12 22:43:20.25532+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|780330|2022-09-12 22:29:28.618003+02
12|1663015401.267854|2022-09-12 22:43:21.267854+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|850241|2022-09-12 22:29:28.618003+02
13|1663015402.279047|2022-09-12 22:43:22.279047+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|919269|2022-09-12 22:29:28.618003+02
14|1663015403.289051|2022-09-12 22:43:23.289051+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|988030|2022-09-12 22:29:28.618003+02
15|1663015404.299202|2022-09-12 22:43:24.299202+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1057579|2022-09-12 22:29:28.618003+02
16|1663015405.311946|2022-09-12 22:43:25.311946+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1125965|2022-09-12 22:29:28.618003+02
17|1663015406.324573|2022-09-12 22:43:26.324573+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1195276|2022-09-12 22:29:28.618003+02
18|1663015407.337326|2022-09-12 22:43:27.337326+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1264111|2022-09-12 22:29:28.618003+02
19|1663015408.355615|2022-09-12 22:43:28.355615+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1333474|2022-09-12 22:29:28.618003+02
20|1663015409.376289|2022-09-12 22:43:29.376289+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1402435|2022-09-12 22:29:28.618003+02
21|1663015410.392137|2022-09-12 22:43:30.392137+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1471289|2022-09-12 22:29:28.618003+02
22|1663015411.408719|2022-09-12 22:43:31.408719+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1554058|2022-09-12 22:29:28.618003+02
23|1663015412.419652|2022-09-12 22:43:32.419652+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1622311|2022-09-12 22:29:28.618003+02
24|1663015413.432330|2022-09-12 22:43:33.43233+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1690285|2022-09-12 22:29:28.618003+02
25|1663015414.443317|2022-09-12 22:43:34.443317+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1756137|2022-09-12 22:29:28.618003+02
26|1663015415.454789|2022-09-12 22:43:35.454789+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1824753|2022-09-12 22:29:28.618003+02
27|1663015416.467667|2022-09-12 22:43:36.467667+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1893245|2022-09-12 22:29:28.618003+02
28|1663015417.481050|2022-09-12 22:43:37.48105+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|1961687|2022-09-12 22:29:28.618003+02
29|1663015418.495355|2022-09-12 22:43:38.495355+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|2029970|2022-09-12 22:29:28.618003+02
30|1663015419.509521|2022-09-12 22:43:39.509521+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|2098531|2022-09-12 22:29:28.618003+02
31|1663015420.524846|2022-09-12 22:43:40.524846+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|2166817|2022-09-12 22:29:28.618003+02
32|1663015421.538690|2022-09-12 22:43:41.53869+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|2235478|2022-09-12 22:29:28.618003+02
33|1663015422.554425|2022-09-12 22:43:42.554425+02|F/41B4C0|0|1|343772|73|1389|239|2|16393996|0|2303864|2022-09-12 22:29:28.618003+02
