run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662830915.941108|2022-09-10 19:28:35.941108+02|16384|test|1|374|0|16423934|576353|500118746|4901|500055094|4|0|0|10|10020478976|0|||0|0|1842256.289|1841723.105|500.082|16|0|0|0|
1|1662830916.967723|2022-09-10 19:28:36.967723+02|16384|test|17|11536|0|16450472|608717|500136480|17594|500055094|4|0|0|10|10020478976|0|||0|0|1858300.386|1856032.941|500.082|35|0|0|0|
2|1662830917.995800|2022-09-10 19:28:37.9958+02|16384|test|17|28842|0|16485250|660904|500153996|35108|500055094|4|0|0|10|10020478976|0|||0|0|1874324.739|1869722.374|500.082|37|0|0|0|
3|1662830919.030528|2022-09-10 19:28:39.030528+02|16384|test|17|47025|0|16521066|716438|500172389|53499|500055094|4|0|0|10|10020478976|0|||0|0|1890354.663|1883279.079|500.082|39|0|0|0|
4|1662830920.079544|2022-09-10 19:28:40.079544+02|16384|test|17|65632|0|16557402|773572|500191206|72314|500055094|4|0|0|10|10020478976|0|||0|0|1906388.459|1896904.526|500.082|41|0|0|0|
5|1662830921.098396|2022-09-10 19:28:41.098396+02|16384|test|17|84818|0|16594795|832544|500210602|91708|500055094|4|0|0|10|10020478976|0|||0|0|1922408.849|1910504.328|500.082|43|0|0|0|
6|1662830922.117117|2022-09-10 19:28:42.117117+02|16384|test|17|102764|0|16629720|887784|500228758|109862|500055094|4|0|0|10|10020478976|0|||0|0|1938432.443|1924180.198|500.082|45|0|0|0|
7|1662830923.149796|2022-09-10 19:28:43.149796+02|16384|test|17|122373|0|16667857|948127|500248577|129679|500055094|4|0|0|10|10020478976|0|||0|0|1954459.748|1937764.397|500.082|47|0|0|0|
8|1662830924.175071|2022-09-10 19:28:44.175071+02|16384|test|17|142133|0|16706324|1008895|500268547|149647|500055094|4|0|0|10|10020478976|0|||0|0|1970484.259|1951327.806|500.082|49|0|0|0|
9|1662830925.236178|2022-09-10 19:28:45.236178+02|16384|test|17|162454|0|16745873|1071386|500289078|170176|500055094|4|0|0|10|10020478976|0|||0|0|1986539.085|1964774.593|500.082|51|0|0|0|
10|1662830926.266816|2022-09-10 19:28:46.266816+02|16384|test|17|181573|0|16783075|1130214|500308407|189503|500055094|4|0|0|10|10020478976|0|||0|0|2002556.488|1978308.489|500.082|53|0|0|0|
11|1662830927.295710|2022-09-10 19:28:47.29571+02|16384|test|17|202024|0|16822866|1193113|500329068|210162|500055094|4|0|0|10|10020478976|0|||0|0|2018577.242|1991680.399|500.082|55|0|0|0|
12|1662830928.321944|2022-09-10 19:28:48.321944+02|16384|test|17|222375|0|16862512|1255657|500349629|230721|500055094|4|0|0|10|10020478976|0|||0|0|2034594.341|2004960.657|500.082|57|0|0|0|
13|1662830929.352461|2022-09-10 19:28:49.352461+02|16384|test|17|241671|0|16900093|1314991|500369135|250225|500055094|4|0|0|10|10020478976|0|||0|0|2050617.387|2018338.644|500.082|59|0|0|0|
14|1662830930.378184|2022-09-10 19:28:50.378184+02|16384|test|17|261895|0|16939501|1377138|500389569|270657|500055094|4|0|0|10|10020478976|0|||0|0|2066640.487|2031656.993|500.082|61|0|0|0|
15|1662830931.398254|2022-09-10 19:28:51.398254+02|16384|test|17|282757|0|16980125|1441259|500410641|291727|500055094|4|0|0|10|10020478976|0|||0|0|2082665.072|2044870.853|500.082|63|0|0|0|
16|1662830932.421690|2022-09-10 19:28:52.42169+02|16384|test|17|302864|0|17019335|1503019|500430958|312042|500055094|4|0|0|10|10020478976|0|||0|0|2098690.375|2058155.589|500.082|65|0|0|0|
17|1662830933.453668|2022-09-10 19:28:53.453668+02|16384|test|17|323858|0|17060160|1567599|500452162|333244|500055094|4|0|0|10|10020478976|0|||0|0|2114712.066|2071396.541|500.082|67|0|0|0|
18|1662830934.498210|2022-09-10 19:28:54.49821+02|16384|test|17|344163|0|17099670|1630049|500472677|353757|500055094|4|0|0|10|10020478976|0|||0|0|2130740.595|2084734.653|500.082|69|0|0|0|
19|1662830935.568185|2022-09-10 19:28:55.568185+02|16384|test|17|364832|0|17139923|1693576|500493556|374634|500055094|4|0|0|10|10020478976|0|||0|0|2146793.263|2097901.56|500.082|71|0|0|0|
20|1662830936.618305|2022-09-10 19:28:56.618305+02|16384|test|17|385853|0|17180802|1758237|500514787|395863|500055094|4|0|0|10|10020478976|0|||0|0|2162830.378|2111067.274|500.082|73|0|0|0|
21|1662830937.636126|2022-09-10 19:28:57.636126+02|16384|test|17|406769|0|17221429|1822625|500535913|416987|500055094|4|0|0|10|10020478976|0|||0|0|2178849.086|2124279.516|500.082|75|0|0|0|
22|1662830938.715603|2022-09-10 19:28:58.715603+02|16384|test|17|427782|0|17262236|1887318|500557136|438208|500055094|4|0|0|10|10020478976|0|||0|0|2194907.033|2137467.808|500.082|77|0|0|0|
23|1662830939.761118|2022-09-10 19:28:59.761118+02|16384|test|17|447861|0|17301312|1949072|500577425|458495|500055094|4|0|0|10|10020478976|0|||0|0|2210936.64|2150728.873|500.082|79|0|0|0|
24|1662830940.783870|2022-09-10 19:29:00.78387+02|16384|test|17|468987|0|17342412|2014037|500598761|479829|500055094|4|0|0|10|10020478976|0|||0|0|2226957.247|2163892.552|500.082|81|0|0|0|
25|1662830941.830773|2022-09-10 19:29:01.830773+02|16384|test|17|490135|0|17383601|2079023|500620119|501185|500055094|4|0|0|10|10020478976|0|||0|0|2243002.947|2177087.386|500.082|83|0|0|0|
26|1662830942.872747|2022-09-10 19:29:02.872747+02|16384|test|17|510669|0|17423548|2142181|500640863|521927|500055094|4|0|0|10|10020478976|0|||0|0|2259061.393|2190189.862|500.082|85|0|0|0|
27|1662830943.897495|2022-09-10 19:29:03.897495+02|16384|test|17|531721|0|17464553|2206871|500662125|543187|500055094|4|0|0|10|10020478976|0|||0|0|2275090.806|2203465.599|500.082|87|0|0|0|
28|1662830944.931050|2022-09-10 19:29:04.93105+02|16384|test|17|552691|0|17505439|2271270|500683305|564365|500055094|4|0|0|10|10020478976|0|||0|0|2291111.447|2216593.534|500.082|89|0|0|0|
