run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662825409.774362|2022-09-10 17:56:49.774362+02|16384|test|1|19518029|0|54414611|60551620|519836726|19702927|500055094|4|0|0|10|10020478976|0|||0|0|16199484.174|13395578.768|505.105|1753|0|0|0|
1|1662825410.782796|2022-09-10 17:56:50.782796+02|16384|test|17|19518054|0|54414656|60553254|519842699|19703874|500055094|4|0|0|10|10020478976|0|||0|0|16199519.637|13395587.86|505.105|1773|0|0|0|
2|1662825411.831188|2022-09-10 17:56:51.831188+02|16384|test|17|19523375|0|54425226|60656296|519859567|19715489|500060331|5241|0|0|10|10020478976|0|||0|0|16222693.334|13417088.458|1414.023|1775|0|0|0|
3|1662825412.846851|2022-09-10 17:56:52.846851+02|16384|test|17|19528153|0|54434438|60745957|519873545|19724881|500064921|10015|0|0|10|10020478976|0|||0|0|16247049.872|13439933.056|2264.73|1777|0|0|0|
4|1662825413.858966|2022-09-10 17:56:53.858966+02|16384|test|17|19531954|0|54442093|60821244|519885700|19733055|500068902|13812|0|0|10|10020478976|0|||0|0|16264104.402|13455972.554|2817.527|1779|0|0|0|
5|1662825414.868428|2022-09-10 17:56:54.868428+02|16384|test|17|19534851|0|54447791|60877220|519894588|19739053|500071795|16705|0|0|10|10020478976|0|||0|0|16278507.128|13469247.142|3443.337|1781|0|0|0|
6|1662825415.881771|2022-09-10 17:56:55.881771+02|16384|test|17|19537213|0|54452314|60921486|519901526|19743749|500074153|19063|0|0|10|10020478976|0|||0|0|16296629.007|13486546.218|3893.552|1783|0|0|0|
7|1662825416.891776|2022-09-10 17:56:56.891776+02|16384|test|17|19540350|0|54458644|60983106|519911480|19750459|500077286|22196|0|0|10|10020478976|0|||0|0|16312687.448|13501828.735|4302.863|1785|0|0|0|
8|1662825417.900659|2022-09-10 17:56:57.900659+02|16384|test|17|19543391|0|54464610|61041664|519920791|19756745|500080323|25233|0|0|10|10020478976|0|||0|0|16328736.457|13517137.217|4694.504|1787|0|0|0|
9|1662825418.912028|2022-09-10 17:56:58.912028+02|16384|test|17|19545537|0|54468761|61081719|519927027|19760973|500082465|27375|0|0|10|10020478976|0|||0|0|16344856.027|13532310.958|5276.804|1789|0|0|0|
10|1662825419.922494|2022-09-10 17:56:59.922494+02|16384|test|17|19547857|0|54473418|61127849|519934586|19766085|500084781|29691|0|0|10|10020478976|0|||0|0|16360921.308|13547726.221|5616.159|1791|0|0|0|
11|1662825420.933258|2022-09-10 17:57:00.933258+02|16384|test|17|19550767|0|54479130|61183723|519943505|19772109|500087687|32597|0|0|10|10020478976|0|||0|0|16376972.936|13563083.298|5977.283|1793|0|0|0|
12|1662825421.943051|2022-09-10 17:57:01.943051+02|16384|test|17|19553681|0|54484874|61239907|519952444|19778141|500090597|35507|0|0|10|10020478976|0|||0|0|16393017.742|13578379.532|6373.404|1795|0|0|0|
13|1662825422.953510|2022-09-10 17:57:02.95351+02|16384|test|17|19555595|0|54488612|61276799|519958382|19782173|500092507|37417|0|0|10|10020478976|0|||0|0|16409110.849|13593519.027|6964.596|1797|0|0|0|
14|1662825423.967007|2022-09-10 17:57:03.967007+02|16384|test|17|19557967|0|54493258|61322465|519965686|19787121|500094875|39785|0|0|10|10020478976|0|||0|0|16425179.304|13608976.375|7283.514|1799|0|0|0|
15|1662825424.976943|2022-09-10 17:57:04.976943+02|16384|test|17|19560798|0|54498870|61377063|519974370|19792987|500097702|42612|0|0|10|10020478976|0|||0|0|16441282.341|13624426.774|7624.348|1801|0|0|0|
16|1662825425.987185|2022-09-10 17:57:05.987185+02|16384|test|17|19563630|0|54504402|61431477|519983056|19798855|500100530|45440|0|0|10|10020478976|0|||0|0|16457333.886|13639761.526|7995.24|1803|0|0|0|
17|1662825426.999320|2022-09-10 17:57:06.99932+02|16384|test|17|19565635|0|54508359|61470156|519989263|19803069|500102531|47441|0|0|10|10020478976|0|||0|0|16473461.152|13655035.861|8508.931|1805|0|0|0|
18|1662825428.010699|2022-09-10 17:57:08.010699+02|16384|test|17|19568078|0|54513161|61517118|519996782|19808159|500104970|49880|0|0|10|10020478976|0|||0|0|16489518.927|13670480.121|8827.724|1807|0|0|0|
19|1662825429.020487|2022-09-10 17:57:09.020487+02|16384|test|17|19570908|0|54518712|61571478|520005455|19814023|500107796|52706|0|0|10|10020478976|0|||0|0|16505564.909|13685853.349|9176.762|1809|0|0|0|
20|1662825430.032422|2022-09-10 17:57:10.032422+02|16384|test|17|19573746|0|54524276|61625983|520014146|19819903|500110630|55540|0|0|10|10020478976|0|||0|0|16521619.064|13701207.77|9540.562|1811|0|0|0|
21|1662825431.042440|2022-09-10 17:57:11.04244+02|16384|test|17|19575684|0|54528057|61663220|520020144|19823983|500112564|57474|0|0|10|10020478976|0|||0|0|16537752.129|13716550.355|10039.835|1813|0|0|0|
22|1662825432.051826|2022-09-10 17:57:12.051826+02|16384|test|17|19578098|0|54532810|61709699|520027570|19829015|500114974|59884|0|0|10|10020478976|0|||0|0|16553794.483|13731973.579|10353.637|1815|0|0|0|
23|1662825433.062507|2022-09-10 17:57:13.062507+02|16384|test|17|19580871|0|54538288|61762979|520036071|19834765|500117743|62653|0|0|10|10020478976|0|||0|0|16569858.175|13747381.708|10687.904|1817|0|0|0|
24|1662825434.075667|2022-09-10 17:57:14.075667+02|16384|test|17|19582230|0|54540941|61789211|520040338|19837687|500119098|64008|0|0|10|10020478976|0|||0|0|16585957.269|13762679.523|11136.771|1819|0|0|0|
25|1662825435.090520|2022-09-10 17:57:15.09052+02|16384|test|17|19583487|0|54543424|61813486|520044306|19840405|500120259|65261|0|0|10|10020478976|0|||0|0|16600339.639|13776514.585|11427.11|1821|0|0|0|
26|1662825436.101927|2022-09-10 17:57:16.101927+02|16384|test|17|19584933|0|54546292|61841645|520048831|19843501|500121793|66703|0|0|10|10020478976|0|||0|0|16618534.891|13793970.491|11819.547|1823|0|0|0|
27|1662825437.124627|2022-09-10 17:57:17.124627+02|16384|test|17|19586088|0|54548513|61863602|520052493|19846015|500122944|67777|0|0|10|10020478976|0|||0|0|16633640.345|13808555.826|12101.827|1825|0|0|0|
28|1662825438.139270|2022-09-10 17:57:18.13927+02|16384|test|17|19587442|0|54551138|61889720|520056748|19848927|500124294|69120|0|0|10|10020478976|0|||0|0|16649812.106|13824102.971|12468.258|1827|0|0|0|
29|1662825439.152813|2022-09-10 17:57:19.152813+02|16384|test|17|19588793|0|54553843|61916479|520060984|19851833|500125641|70551|0|0|10|10020478976|0|||0|0|16666968.286|13840668.165|12800.181|1829|0|0|0|
30|1662825440.165648|2022-09-10 17:57:20.165648+02|16384|test|17|19590055|0|54556332|61941001|520064958|19854561|500126899|71809|0|0|10|10020478976|0|||0|0|16683079.186|13856254.916|13081.455|1831|0|0|0|
