run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662559226.450763|2022-09-07 16:00:26.450763+02|6/1D4DA000|4|2|2490409|627|290655|497160|3974|1580953|0|584344|2022-09-07 14:58:43.140124+02
1|1662559227.483723|2022-09-07 16:00:27.483723+02|6/1D4DB378|4|2|2490409|627|290655|497160|3974|1580953|0|694461|2022-09-07 14:58:43.140124+02
2|1662559228.537446|2022-09-07 16:00:28.537446+02|6/1D4DB378|4|2|2490409|627|290655|497560|3978|1580953|0|780195|2022-09-07 14:58:43.140124+02
3|1662559229.600338|2022-09-07 16:00:29.600338+02|6/1D4DB378|4|2|2490409|627|290655|497753|3979|1580953|0|871459|2022-09-07 14:58:43.140124+02
4|1662559230.677735|2022-09-07 16:00:30.677735+02|6/1D4DB378|4|2|2490409|627|290655|497944|3980|1580953|0|984482|2022-09-07 14:58:43.140124+02
5|1662559231.746807|2022-09-07 16:00:31.746807+02|6/1D4DB378|4|2|2490409|627|290655|497944|3980|1580953|0|1082036|2022-09-07 14:58:43.140124+02
6|1662559232.785543|2022-09-07 16:00:32.785543+02|6/1D4DB378|4|2|2490409|627|290655|497944|3980|1580953|0|1183228|2022-09-07 14:58:43.140124+02
7|1662559233.824207|2022-09-07 16:00:33.824207+02|6/1D4DB378|4|2|2490409|627|290655|497944|3980|1580953|0|1284447|2022-09-07 14:58:43.140124+02
8|1662559234.873627|2022-09-07 16:00:34.873627+02|6/1D4DB378|4|2|2490409|627|290655|497944|3980|1580953|0|1406020|2022-09-07 14:58:43.140124+02
9|1662559235.905553|2022-09-07 16:00:35.905553+02|6/1D4DB378|4|2|2490409|627|290655|497944|3980|1580953|0|1508817|2022-09-07 14:58:43.140124+02
10|1662559236.997427|2022-09-07 16:00:36.997427+02|6/1D4DB378|4|2|2490409|627|290655|497985|3980|1580953|0|1612430|2022-09-07 14:58:43.140124+02
11|1662559238.080052|2022-09-07 16:00:38.080052+02|6/1D4DB378|4|2|2490409|627|290655|497985|3980|1580953|0|1736599|2022-09-07 14:58:43.140124+02
12|1662559239.167147|2022-09-07 16:00:39.167147+02|6/1D4DB378|4|2|2490409|627|290655|497985|3980|1580953|0|1840780|2022-09-07 14:58:43.140124+02
13|1662559240.271279|2022-09-07 16:00:40.271279+02|6/1D4DB378|4|2|2490409|627|290655|497985|3980|1580953|0|1945137|2022-09-07 14:58:43.140124+02
14|1662559241.375083|2022-09-07 16:00:41.375083+02|6/1D4DB378|4|2|2490409|627|290655|497985|3980|1580953|0|2070404|2022-09-07 14:58:43.140124+02
15|1662559242.477334|2022-09-07 16:00:42.477334+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2175520|2022-09-07 14:58:43.140124+02
16|1662559243.572921|2022-09-07 16:00:43.572921+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2302098|2022-09-07 14:58:43.140124+02
17|1662559244.625698|2022-09-07 16:00:44.625698+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2406749|2022-09-07 14:58:43.140124+02
18|1662559245.700467|2022-09-07 16:00:45.700467+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2512138|2022-09-07 14:58:43.140124+02
19|1662559246.801446|2022-09-07 16:00:46.801446+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2639671|2022-09-07 14:58:43.140124+02
20|1662559247.901660|2022-09-07 16:00:47.90166+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2744924|2022-09-07 14:58:43.140124+02
21|1662559248.970232|2022-09-07 16:00:48.970232+02|6/1D4DB3B0|4|2|2490409|627|290655|497985|3980|1580953|0|2871197|2022-09-07 14:58:43.140124+02
