run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1663022105.826549|2022-09-13 00:35:05.826549+02|F/41A000|0|1|324171|50|1389|0|0|16393996|0|6484|2022-09-13 00:22:28.95657+02
1|1663022106.835170|2022-09-13 00:35:06.83517+02|F/41A6B8|0|1|324171|50|1389|0|0|16393996|0|78484|2022-09-13 00:22:28.95657+02
2|1663022107.851091|2022-09-13 00:35:07.851091+02|F/41A6B8|0|1|324171|50|1389|0|0|16393996|0|158084|2022-09-13 00:22:28.95657+02
3|1663022108.862064|2022-09-13 00:35:08.862064+02|F/41A6B8|0|1|324171|50|1389|34|0|16393996|0|240791|2022-09-13 00:22:28.95657+02
4|1663022109.871850|2022-09-13 00:35:09.87185+02|F/41A6B8|0|1|324171|50|1389|42|0|16393996|0|324396|2022-09-13 00:22:28.95657+02
5|1663022110.882028|2022-09-13 00:35:10.882028+02|F/41A6B8|0|1|324171|50|1389|142|1|16393996|0|407779|2022-09-13 00:22:28.95657+02
6|1663022111.893637|2022-09-13 00:35:11.893637+02|F/41A6B8|0|1|324171|50|1389|142|1|16393996|0|490810|2022-09-13 00:22:28.95657+02
7|1663022112.906050|2022-09-13 00:35:12.90605+02|F/41A6B8|0|1|324171|50|1389|145|1|16393996|0|573618|2022-09-13 00:22:28.95657+02
8|1663022113.917659|2022-09-13 00:35:13.917659+02|F/41A6B8|0|1|324171|50|1389|146|1|16393996|0|656025|2022-09-13 00:22:28.95657+02
9|1663022114.928045|2022-09-13 00:35:14.928045+02|F/41A6F0|0|1|324171|50|1389|146|1|16393996|0|738738|2022-09-13 00:22:28.95657+02
10|1663022115.938384|2022-09-13 00:35:15.938384+02|F/41A6F0|0|1|324171|50|1389|146|1|16393996|0|820984|2022-09-13 00:22:28.95657+02
11|1663022116.949357|2022-09-13 00:35:16.949357+02|F/41A6F0|0|1|324171|50|1389|146|1|16393996|0|903005|2022-09-13 00:22:28.95657+02
12|1663022117.958592|2022-09-13 00:35:17.958592+02|F/41A6F0|0|1|324171|50|1389|146|1|16393996|0|984300|2022-09-13 00:22:28.95657+02
13|1663022118.970080|2022-09-13 00:35:18.97008+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1065457|2022-09-13 00:22:28.95657+02
14|1663022119.984711|2022-09-13 00:35:19.984711+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1145737|2022-09-13 00:22:28.95657+02
15|1663022120.997382|2022-09-13 00:35:20.997382+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1226221|2022-09-13 00:22:28.95657+02
16|1663022122.008122|2022-09-13 00:35:22.008122+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1306207|2022-09-13 00:22:28.95657+02
17|1663022123.019832|2022-09-13 00:35:23.019832+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1385926|2022-09-13 00:22:28.95657+02
18|1663022124.031387|2022-09-13 00:35:24.031387+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1465500|2022-09-13 00:22:28.95657+02
19|1663022125.044049|2022-09-13 00:35:25.044049+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1560946|2022-09-13 00:22:28.95657+02
20|1663022126.054869|2022-09-13 00:35:26.054869+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1641026|2022-09-13 00:22:28.95657+02
21|1663022127.064423|2022-09-13 00:35:27.064423+02|F/41A6F0|0|1|324171|50|1389|147|1|16393996|0|1721033|2022-09-13 00:22:28.95657+02
