run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662735963.890041|2022-09-09 17:06:03.890041+02|16411|test|1|274595682|0|286059301|813604672|299838252|274785863|25002844|4|0|0|1|501030912|0|||0|0|28859227.973|12887253.577|26.411|1815|0|0|0|
1|1662735964.902320|2022-09-09 17:06:04.90232+02|16411|test|33|274595723|0|286059341|813606793|299839716|274787035|25002844|4|0|0|1|501030912|0|||0|0|28859314.27|12887260.672|26.411|1851|0|0|0|
2|1662735965.915769|2022-09-09 17:06:05.915769+02|16411|test|33|274635492|0|286101752|814274099|299958824|274868313|25041807|39609|0|0|1|501030912|0|||0|0|28923372.023|12943871.063|3963.814|1853|0|0|0|
3|1662735966.930861|2022-09-09 17:06:06.930861+02|16411|test|33|274657299|0|286125176|814630391|300021997|274912131|25064252|61412|0|0|1|501030912|0|||0|0|28955438.741|12971628.313|6404.044|1855|0|0|0|
4|1662735967.944939|2022-09-09 17:06:07.944939+02|16411|test|33|274672536|0|286141397|814874343|300065615|274942809|25079485|76645|0|0|1|501030912|0|||0|0|28986458.049|12996207.114|10570.554|1857|0|0|0|
5|1662735968.959214|2022-09-09 17:06:08.959214+02|16411|test|33|274697756|0|286167983|815269804|300136677|274993453|25104701|101861|0|0|1|501030912|0|||0|0|29019484.558|13024139.271|13455.971|1859|0|0|0|
6|1662735969.973652|2022-09-09 17:06:09.973652+02|16411|test|33|274719226|0|286190361|815602096|300196335|275036597|25126167|123327|0|0|1|501030912|0|||0|0|29051537.776|13049225.124|17960.682|1861|0|0|0|
7|1662735970.990941|2022-09-09 17:06:10.990941+02|16411|test|33|274742934|0|286214747|815961807|300261160|275084217|25149871|147031|0|0|1|501030912|0|||0|0|29083567.915|13075065.271|21683.838|1863|0|0|0|
8|1662735972.009606|2022-09-09 17:06:12.009606+02|16411|test|33|274768504|0|286240724|816340861|300329947|275135561|25175437|172597|0|0|1|501030912|0|||0|0|29115628.472|13100685.927|25619.655|1865|0|0|0|
9|1662735973.029376|2022-09-09 17:06:13.029376+02|16411|test|33|274792001|0|286264575|816683983|300392362|275182759|25198930|196090|0|0|1|501030912|0|||0|0|29147658.737|13125402.948|29985.703|1867|0|0|0|
