run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662896743.118275|2022-09-11 13:45:43.118275+02|16384|test|1|439609676|0|382921|1758832176|449851428|439801696|10001194|4|0|0|1|200417280|0|||0|0|28824260.841|7709981.016|9.596|1831|0|0|0|
1|1662896744.130981|2022-09-11 13:45:44.130981+02|16384|test|33|439618126|0|382925|1758981472|449877569|439820067|10009563|8373|0|0|1|200417280|0|||0|0|28832347.281|7716479.328|832.159|1867|0|0|0|
2|1662896745.145326|2022-09-11 13:45:45.145326+02|16384|test|33|439690218|0|384607|1760176928|450079510|439965610|10081531|80341|0|0|1|200417280|0|||0|0|28888376.262|7759502.57|8434.644|1869|0|0|0|
3|1662896746.160894|2022-09-11 13:45:46.160894+02|16384|test|33|439746795|0|385375|1761011223|450222926|440078968|10138104|136914|0|0|1|200417280|0|||0|0|28920393.425|7781446.563|14585.355|1871|0|0|0|
4|1662896747.175824|2022-09-11 13:45:47.175824+02|16384|test|33|439811394|0|386445|1761893396|450376723|440208370|10202699|201509|0|0|1|200417280|0|||0|0|28952408.127|7801811.816|21789.803|1873|0|0|0|
5|1662896748.190511|2022-09-11 13:45:48.190511+02|16384|test|33|439876209|0|387052|1762723304|450523441|440338204|10267510|266320|0|0|1|200417280|0|||0|0|28984422.756|7822056.578|29107.467|1875|0|0|0|
6|1662896749.206290|2022-09-11 13:45:49.20629+02|16384|test|33|439944433|0|387506|1763558592|450672420|440474856|10335730|334540|0|0|1|200417280|0|||0|0|29016436.685|7841804.995|36685.01|1877|0|0|0|
7|1662896750.222257|2022-09-11 13:45:50.222257+02|16384|test|33|440018380|0|388107|1764433607|450829554|440622954|10409673|408483|0|0|1|200417280|0|||0|0|29048451.377|7860626.978|44748.071|1879|0|0|0|
8|1662896751.238746|2022-09-11 13:45:51.238746+02|16384|test|33|440096425|0|388682|1765335502|450992454|440779248|10487714|486524|0|0|1|200417280|0|||0|0|29080467.209|7878662.771|53256.363|1881|0|0|0|
9|1662896752.255088|2022-09-11 13:45:52.255088+02|16384|test|33|440177548|0|389233|1766257701|451159594|440941698|10568833|567643|0|0|1|200417280|0|||0|0|29112482.471|7896076.238|62130.252|1883|0|0|0|
