run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662734998.927073|2022-09-09 16:49:58.927073+02|16411|test|1|314|0|847586|41545|25040713|4480|25002844|4|0|0|1|501030912|0|||0|0|44413.008|44396.938|26.411|15|0|0|0|
1|1662734999.939739|2022-09-09 16:49:59.939739+02|16411|test|33|131854|0|1003900|414971|25174315|137775|25002844|4|0|0|1|501030912|0|||0|0|60486.672|53056.466|26.411|51|0|0|0|
2|1662735000.960610|2022-09-09 16:50:00.96061+02|16411|test|33|510127|0|1416447|1517540|25553439|516880|25002844|4|0|0|1|501030912|0|||0|0|108504.829|75220.378|26.411|53|0|0|0|
3|1662735001.984039|2022-09-09 16:50:01.984039+02|16411|test|33|799738|0|1717778|2375092|25843260|806699|25002844|4|0|0|1|501030912|0|||0|0|140521.549|89645.856|26.411|55|0|0|0|
4|1662735003.007948|2022-09-09 16:50:03.007948+02|16411|test|33|1097769|0|2027620|3257813|26141501|1104938|25002844|4|0|0|1|501030912|0|||0|0|172538.554|103937.698|26.411|57|0|0|0|
5|1662735004.031781|2022-09-09 16:50:04.031781+02|16411|test|33|1397758|0|2338769|4147059|26441700|1405135|25002844|4|0|0|1|501030912|0|||0|0|204555.875|118067.01|26.411|59|0|0|0|
6|1662735005.055713|2022-09-09 16:50:05.055713+02|16411|test|33|1700179|0|2652812|5043139|26744331|1707764|25002844|4|0|0|1|501030912|0|||0|0|236573.017|132192.803|26.411|61|0|0|0|
7|1662735006.080242|2022-09-09 16:50:06.080242+02|16411|test|33|2003642|0|2967725|5942517|27048004|2011435|25002844|4|0|0|1|501030912|0|||0|0|268590.864|146268.829|26.411|63|0|0|0|
8|1662735007.104382|2022-09-09 16:50:07.104382+02|16411|test|33|2307891|0|3283474|6844203|27352463|2315892|25002844|4|0|0|1|501030912|0|||0|0|300608.944|160339.169|26.411|65|0|0|0|
9|1662735008.130015|2022-09-09 16:50:08.130015+02|16411|test|33|2612684|0|3599583|7747705|27657466|2620893|25002844|4|0|0|1|501030912|0|||0|0|332627.969|174363.572|26.411|67|0|0|0|
10|1662735009.154829|2022-09-09 16:50:09.154829+02|16411|test|33|2918234|0|3916542|8653385|27963226|2926651|25002844|4|0|0|1|501030912|0|||0|0|364646.691|188421.859|26.411|69|0|0|0|
11|1662735010.179531|2022-09-09 16:50:10.179531+02|16411|test|33|3220956|0|4231052|9550202|28266158|3229581|25002844|4|0|0|1|501030912|0|||0|0|396665.149|202367.676|26.411|71|0|0|0|
12|1662735011.204386|2022-09-09 16:50:11.204386+02|16411|test|33|3526571|0|4548780|10455373|28571983|3535404|25002844|4|0|0|1|501030912|0|||0|0|428683.68|216379.148|26.411|73|0|0|0|
13|1662735012.228722|2022-09-09 16:50:12.228722+02|16411|test|33|3833091|0|4866892|11363780|28878713|3842132|25002844|4|0|0|1|501030912|0|||0|0|460702.192|230407.808|26.411|75|0|0|0|
14|1662735013.254355|2022-09-09 16:50:13.254355+02|16411|test|33|4139894|0|5185679|12272644|29185726|4149143|25002844|4|0|0|1|501030912|0|||0|0|492720.852|244446.873|26.411|77|0|0|0|
15|1662735014.278959|2022-09-09 16:50:14.278959+02|16411|test|33|4446972|0|5504994|13182080|29493014|4456429|25002844|4|0|0|1|501030912|0|||0|0|524739.187|258503.386|26.411|79|0|0|0|
16|1662735015.301507|2022-09-09 16:50:15.301507+02|16411|test|33|4754805|0|5824502|14094408|29801948|4764482|25002844|4|0|0|1|501030912|0|||0|0|556755.06|272560.048|26.411|81|0|0|0|
