run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662736617.982491|2022-09-09 17:16:57.982491+02|4/FD400000|4|2|2489300|261|298230|451056|3351|1507076|0|540532|2022-09-09 16:15:00.375036+02
1|1662736619.081804|2022-09-09 17:16:59.081804+02|4/FD400A80|4|2|2489300|261|298230|451056|3351|1507076|0|611533|2022-09-09 16:15:00.375036+02
2|1662736620.131225|2022-09-09 17:17:00.131225+02|4/FD400A80|4|2|2489300|261|298230|451056|3351|1507076|0|685693|2022-09-09 16:15:00.375036+02
3|1662736621.243009|2022-09-09 17:17:01.243009+02|4/FD400A80|4|2|2489300|261|298230|451456|3355|1507076|0|743032|2022-09-09 16:15:00.375036+02
4|1662736622.284932|2022-09-09 17:17:02.284932+02|4/FD400A80|4|2|2489300|261|298230|451656|3357|1507076|0|798804|2022-09-09 16:15:00.375036+02
5|1662736623.298054|2022-09-09 17:17:03.298054+02|4/FD400A80|4|2|2489300|261|298230|451917|3359|1507076|0|843760|2022-09-09 16:15:00.375036+02
6|1662736624.350057|2022-09-09 17:17:04.350057+02|4/FD400A80|4|2|2489300|261|298230|452017|3360|1507076|0|902584|2022-09-09 16:15:00.375036+02
7|1662736625.439228|2022-09-09 17:17:05.439228+02|4/FD400A80|4|2|2489300|261|298230|452073|3360|1507076|0|976402|2022-09-09 16:15:00.375036+02
8|1662736626.558343|2022-09-09 17:17:06.558343+02|4/FD400A80|4|2|2489300|261|298230|452073|3360|1507076|0|1038329|2022-09-09 16:15:00.375036+02
9|1662736627.637880|2022-09-09 17:17:07.63788+02|4/FD400A80|4|2|2489300|261|298230|452073|3360|1507076|0|1112028|2022-09-09 16:15:00.375036+02
