run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662736617.978501|2022-09-09 17:16:57.978501+02|16411|test|1|314|0|847584|41556|25040714|4481|25002844|4|0|0|1|501030912|0|||0|0|45417.004|45411.587|25.431|15|0|0|0|
1|1662736619.036897|2022-09-09 17:16:59.036897+02|16411|test|17|45711|0|923727|150150|25087950|51425|25002844|4|0|0|1|501030912|0|||0|0|61477.352|54706.385|25.431|35|0|0|0|
2|1662736620.119476|2022-09-09 17:17:00.119476+02|16411|test|17|96740|0|985304|293128|25139189|102662|25002844|4|0|0|1|501030912|0|||0|0|77510.747|63718.23|25.431|37|0|0|0|
3|1662736621.229588|2022-09-09 17:17:01.229588+02|16411|test|17|149992|0|1042132|449747|25192651|156122|25002844|4|0|0|1|501030912|0|||0|0|93581.98|72415.995|25.431|39|0|0|0|
4|1662736622.268047|2022-09-09 17:17:02.268047+02|16411|test|17|202773|0|1097470|605972|25245642|209111|25002844|4|0|0|1|501030912|0|||0|0|109600.482|81346.419|25.431|41|0|0|0|
5|1662736623.293222|2022-09-09 17:17:03.293222+02|16411|test|17|245386|0|1141693|732640|25288465|251932|25002844|4|0|0|1|501030912|0|||0|0|125613.101|90979.653|25.431|43|0|0|0|
6|1662736624.331871|2022-09-09 17:17:04.331871+02|16411|test|17|301398|0|1199897|898923|25344687|308152|25002844|4|0|0|1|501030912|0|||0|0|141644.392|99371.113|25.431|45|0|0|0|
7|1662736625.390031|2022-09-09 17:17:05.390031+02|16411|test|17|359272|0|1259981|1070774|25402771|366234|25002844|4|0|0|1|501030912|0|||0|0|157675.962|107230.33|25.431|47|0|0|0|
8|1662736626.503732|2022-09-09 17:17:06.503732+02|16411|test|17|418361|0|1321337|1246213|25462070|425531|25002844|4|0|0|1|501030912|0|||0|0|173734.033|114995.149|25.431|49|0|0|0|
9|1662736627.590295|2022-09-09 17:17:07.590295+02|16411|test|17|477341|0|1382688|1421221|25521260|484719|25002844|4|0|0|1|501030912|0|||0|0|189765.793|122729.915|25.431|51|0|0|0|
10|1662736628.718644|2022-09-09 17:17:08.718644+02|16411|test|17|536352|0|1443759|1596633|25580481|543938|25002844|4|0|0|1|501030912|0|||0|0|205810.136|130499.725|25.431|53|0|0|0|
11|1662736629.767847|2022-09-09 17:17:09.767847+02|16411|test|17|596430|0|1506218|1774925|25640769|604224|25002844|4|0|0|1|501030912|0|||0|0|221826.538|137949.131|25.431|55|0|0|0|
12|1662736630.870831|2022-09-09 17:17:10.870831+02|16411|test|17|657746|0|1569856|1956990|25702295|665748|25002844|4|0|0|1|501030912|0|||0|0|237901.442|144961.7|25.431|57|0|0|0|
13|1662736631.983293|2022-09-09 17:17:11.983293+02|16411|test|17|720793|0|1635336|2144137|25765552|729003|25002844|4|0|0|1|501030912|0|||0|0|253943.297|151505.682|25.431|59|0|0|0|
14|1662736633.082433|2022-09-09 17:17:13.082433+02|16411|test|17|849617|0|1769106|2526102|25894586|858035|25002844|4|0|0|1|501030912|0|||0|0|285981.356|164014.931|25.431|61|0|0|0|
15|1662736634.130823|2022-09-09 17:17:14.130823+02|16411|test|17|915262|0|1837238|2720989|25960441|923888|25002844|4|0|0|1|501030912|0|||0|0|302009.45|169742.527|25.431|63|0|0|0|
16|1662736635.190512|2022-09-09 17:17:15.190512+02|16411|test|17|981135|0|1905729|2916429|26026524|989969|25002844|4|0|0|1|501030912|0|||0|0|318028.327|175275.995|25.431|65|0|0|0|
