run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662771256.101036|2022-09-10 02:54:16.101036+02|16384|test|1|20386183|0|56106051|63202747|520700608|20572049|500055094|4|0|0|10|10020478976|0|||0|0|15867605.118|13075149.255|497.416|1763|0|0|0|
1|1662771257.110343|2022-09-10 02:54:17.110343+02|16384|test|17|20386208|0|56106096|63204340|520706560|20572976|500055094|4|0|0|10|10020478976|0|||0|0|15867641.219|13075158.394|497.416|1783|0|0|0|
2|1662771258.122116|2022-09-10 02:54:18.122116+02|16384|test|17|20392581|0|56118793|63327618|520726602|20586715|500061383|6293|0|0|10|10020478976|0|||0|0|15891689.54|13097451.18|1430.439|1785|0|0|0|
3|1662771259.133073|2022-09-10 02:54:19.133073+02|16384|test|17|20398208|0|56129820|63435659|520743680|20598173|500067006|11916|0|0|10|10020478976|0|||0|0|15915756.556|13119784.185|2368.942|1787|0|0|0|
4|1662771260.143506|2022-09-10 02:54:20.143506+02|16384|test|17|20402226|0|56137737|63512816|520755929|20606413|500071020|15930|0|0|10|10020478976|0|||0|0|15931791.051|13134859.525|2890.278|1789|0|0|0|
5|1662771261.208121|2022-09-10 02:54:21.208121+02|16384|test|17|20406077|0|56145299|63586802|520767674|20614319|500074867|19777|0|0|10|10020478976|0|||0|0|15948053.059|13150006.82|3514.398|1791|0|0|0|
6|1662771262.221601|2022-09-10 02:54:22.221601+02|16384|test|17|20409319|0|56151661|63649155|520777591|20621007|500078105|23015|0|0|10|10020478976|0|||0|0|15964190.78|13165185.308|4073.47|1793|0|0|0|
7|1662771263.232115|2022-09-10 02:54:23.232115+02|16384|test|17|20413015|0|56158936|63720238|520788867|20628603|500081797|26707|0|0|10|10020478976|0|||0|0|15980231.283|13180395.942|4515.938|1795|0|0|0|
8|1662771264.242776|2022-09-10 02:54:24.242776+02|16384|test|17|20416083|0|56164992|63779424|520798267|20634943|500084861|29771|0|0|10|10020478976|0|||0|0|15996339.845|13195572.992|5026.19|1797|0|0|0|
9|1662771265.254647|2022-09-10 02:54:25.254647+02|16384|test|17|20418949|0|56170608|63834493|520807059|20640879|500087723|32633|0|0|10|10020478976|0|||0|0|16012398.323|13210931.438|5375.988|1799|0|0|0|
10|1662771266.264644|2022-09-10 02:54:26.264644+02|16384|test|17|20422369|0|56177361|63900125|520817508|20647923|500091139|36049|0|0|10|10020478976|0|||0|0|16028457.669|13226262.754|5746.05|1801|0|0|0|
11|1662771267.312938|2022-09-10 02:54:27.312938+02|16384|test|17|20425650|0|56183870|63963268|520827537|20654689|500094416|39326|0|0|10|10020478976|0|||0|0|16044523.615|13241580.664|6123.931|1803|0|0|0|
12|1662771268.335359|2022-09-10 02:54:28.335359+02|16384|test|17|20427914|0|56188291|64006880|520834522|20659421|500096676|41586|0|0|10|10020478976|0|||0|0|16060577.119|13256842.997|6567.074|1805|0|0|0|
13|1662771269.345434|2022-09-10 02:54:29.345434+02|16384|test|17|20431221|0|56194792|64071717|520845704|20666444|500099980|44884|0|0|10|10020478976|0|||0|0|16076622.151|13272167.025|6931.424|1807|0|0|0|
14|1662771270.355339|2022-09-10 02:54:30.355339+02|16384|test|17|20434572|0|56201357|64136626|520856229|20673638|500103327|48231|0|0|10|10020478976|0|||0|0|16092672.929|13287412.015|7342.307|1809|0|0|0|
