  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:00 init [3]
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    5 ?        I<     0:00 [netns]
    6 ?        I      0:00 [kworker/0:0-events]
    7 ?        I<     0:00 [kworker/0:0H-events_highpri]
    8 ?        I      0:00 [kworker/u8:0-btrfs-endio-write]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        I      0:00 [rcu_tasks_kthread]
   11 ?        S      0:00 [ksoftirqd/0]
   12 ?        I      0:00 [rcu_preempt]
   13 ?        S      0:00 [migration/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:00 [migration/1]
   17 ?        S      0:00 [ksoftirqd/1]
   18 ?        I      0:00 [kworker/1:0-xfs-buf/sdg2]
   19 ?        I<     0:00 [kworker/1:0H-events_highpri]
   20 ?        S      0:00 [cpuhp/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   23 ?        I      0:00 [kworker/2:0-events]
   24 ?        I<     0:00 [kworker/2:0H-kblockd]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [migration/3]
   27 ?        S      0:00 [ksoftirqd/3]
   28 ?        I      0:00 [kworker/3:0-rcu_gp]
   29 ?        I<     0:00 [kworker/3:0H-events_highpri]
   30 ?        S      0:00 [kdevtmpfs]
   31 ?        I<     0:00 [inet_frag_wq]
   32 ?        S      0:00 [kauditd]
   33 ?        I      0:00 [kworker/0:1-events]
   34 ?        I      0:00 [kworker/1:1-xfs-buf/sdg2]
   35 ?        S      0:00 [oom_reaper]
   36 ?        I<     0:00 [writeback]
   37 ?        S      0:00 [kcompactd0]
   38 ?        I<     0:00 [pencrypt_serial]
   39 ?        I<     0:00 [pdecrypt_serial]
   40 ?        I<     0:00 [cryptd]
   41 ?        I<     0:00 [kintegrityd]
   42 ?        I<     0:00 [kblockd]
   43 ?        I<     0:00 [blkcg_punt_bio]
   44 ?        I<     0:00 [ata_sff]
   45 ?        I<     0:00 [md]
   46 ?        I<     0:00 [edac-poller]
   47 ?        S      0:00 [watchdogd]
   48 ?        I      0:00 [kworker/u8:1-btrfs-worker]
   49 ?        I<     0:00 [kworker/0:1H-kblockd]
   50 ?        I<     0:00 [rpciod]
   51 ?        I<     0:00 [xprtiod]
   52 ?        I      0:00 [kworker/u8:2-events_unbound]
   55 ?        I      0:00 [kworker/u8:3-btrfs-endio-write]
   56 ?        I      0:00 [kworker/3:1-events]
   58 ?        I      0:00 [kworker/2:1-events]
  110 ?        S      0:00 [kswapd0]
  112 ?        I<     0:00 [nfsiod]
  114 ?        I<     0:00 [xfsalloc]
  115 ?        I<     0:00 [xfs_mru_cache]
  118 ?        I      0:00 [kworker/3:2-events]
  165 ?        I<     0:00 [acpi_thermal_pm]
  193 ?        S      0:00 [card0-crtc0]
  194 ?        S      0:00 [card0-crtc1]
  195 ?        I<     0:00 [kworker/u9:0]
  204 ?        I<     0:00 [kworker/1:1H-kblockd]
  256 ?        I      0:00 [kworker/0:2-events_power_efficient]
  275 ?        S      0:00 [scsi_eh_0]
  276 ?        I<     0:00 [scsi_tmf_0]
  280 ?        S      0:00 [scsi_eh_1]
  281 ?        I<     0:00 [scsi_tmf_1]
  285 ?        S      0:00 [scsi_eh_2]
  286 ?        I<     0:00 [scsi_tmf_2]
  289 ?        S      0:00 [scsi_eh_3]
  291 ?        I<     0:00 [scsi_tmf_3]
  295 ?        S      0:00 [scsi_eh_4]
  296 ?        I<     0:00 [scsi_tmf_4]
  300 ?        S      0:00 [scsi_eh_5]
  301 ?        I<     0:00 [scsi_tmf_5]
  305 ?        I      0:00 [kworker/u8:4-events_unbound]
  306 ?        I      0:00 [kworker/u8:5-events_unbound]
  307 ?        I      0:00 [kworker/u8:6-btrfs-endio-write]
  308 ?        I      0:00 [kworker/u8:7-events_unbound]
  309 ?        I      0:00 [kworker/u8:8-events_unbound]
  317 ?        S      0:00 [scsi_eh_6]
  318 ?        I<     0:00 [scsi_tmf_6]
  322 ?        S      0:00 [scsi_eh_7]
  323 ?        I<     0:00 [scsi_tmf_7]
  327 ?        I      0:00 [kworker/u8:9-btrfs-endio-write]
  328 ?        I      0:00 [kworker/u8:10-btrfs-endio-write]
  336 ?        S      0:00 [scsi_eh_8]
  337 ?        I<     0:00 [scsi_tmf_8]
  341 ?        S      0:00 [scsi_eh_9]
  342 ?        I<     0:00 [scsi_tmf_9]
  346 ?        I      0:00 [kworker/u8:11-events_unbound]
  347 ?        I      0:00 [kworker/u8:12-btrfs-endio-write]
  349 ?        I      0:00 [kworker/u8:13-events_unbound]
  367 ?        I<     0:00 [kworker/3:1H-kblockd]
  381 ?        I      0:00 [kworker/u8:14-events_unbound]
  408 ?        I<     0:00 [raid5wq]
  410 ?        I<     0:00 [bch_btree_io]
  411 ?        I<     0:00 [bcache]
  412 ?        I<     0:00 [bch_journal]
  414 ?        I<     0:00 [dm_bufio_cache]
  415 ?        I<     0:00 [kmpathd]
  416 ?        I<     0:00 [kmpath_handlerd]
  452 ?        I<     0:00 [mld]
  454 ?        I      0:00 [kworker/0:3-events_power_efficient]
  455 ?        I<     0:00 [ipv6_addrconf]
  499 ?        I<     0:00 [kworker/2:1H-kblockd]
  530 ?        I      0:00 [kworker/0:4-pm]
  665 ?        I      0:00 [kworker/1:2]
  729 ?        I<     0:00 [xfs-buf/sdg2]
