run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662395177.819581|2022-09-05 18:26:17.819581+02|16384|test|1|314|0|191134|19655|5037638|4477|5000644|4|0|0|1|100212736|0|||0|0|9558.951|9607.603|5.119|16|0|0|0|
1|1662395178.827791|2022-09-05 18:26:18.827791+02|16384|test|17|338|0|191134|21243|5038623|5387|5000644|4|0|0|1|100212736|0|||0|0|9586.928|9611.463|5.119|35|0|0|0|
2|1662395179.838026|2022-09-05 18:26:19.838026+02|16384|test|17|28659|0|227082|469572|5120335|63037|5028880|28240|0|0|1|100212736|0|||0|0|41617.12|30666.239|7556.418|38|0|0|0|
3|1662395180.849055|2022-09-05 18:26:20.849055+02|16384|test|17|43585|0|237813|693525|5160230|93093|5043802|43162|0|0|1|100212736|0|||0|0|57629.607|41082.605|11426.234|40|0|0|0|
4|1662395181.862279|2022-09-05 18:26:21.862279+02|16384|test|17|58387|0|246122|905937|5198132|122901|5058600|57960|0|0|1|100212736|0|||0|0|73645.435|51774.412|15052.401|42|0|0|0|
5|1662395182.875702|2022-09-05 18:26:22.875702+02|16384|test|17|68047|0|250702|1040678|5222244|142425|5068256|67616|0|0|1|100212736|0|||0|0|89660.697|63409.016|18142.412|44|0|0|0|
6|1662395183.889277|2022-09-05 18:26:23.889277+02|16384|test|17|82594|0|256677|1238565|5257661|171723|5082799|82159|0|0|1|100212736|0|||0|0|105677.264|74390.231|21573.6|46|0|0|0|
7|1662395184.901339|2022-09-05 18:26:24.901339+02|16384|test|17|97607|0|261830|1436658|5293231|201953|5097808|97168|0|0|1|100212736|0|||0|0|121693.793|85235.868|25087.83|48|0|0|0|
8|1662395185.913212|2022-09-05 18:26:25.913212+02|16384|test|17|112677|0|266091|1629693|5328020|232297|5112874|112234|0|0|1|100212736|0|||0|0|137706.747|96127.996|28571.085|50|0|0|0|
9|1662395186.923987|2022-09-05 18:26:26.923987+02|16384|test|17|127821|0|269709|1819740|5362343|262789|5128014|127374|0|0|1|100212736|0|||0|0|153723.343|106969.546|32097.027|52|0|0|0|
