run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662395177.823508|2022-09-05 18:26:17.823508+02|0/27EBBD88|0|1|34|170|2966|0|0|161945|0|3951|2022-09-05 18:26:07.474185+02
1|1662395178.832337|2022-09-05 18:26:18.832337+02|0/2841BB30|0|1|34|170|2966|0|0|161945|0|25125|2022-09-05 18:26:07.474185+02
2|1662395179.842817|2022-09-05 18:26:19.842817+02|0/28959A70|0|1|34|170|2966|0|0|161945|0|39521|2022-09-05 18:26:07.474185+02
3|1662395180.854649|2022-09-05 18:26:20.854649+02|0/28E8C5B0|0|1|34|170|2966|0|0|161945|0|50332|2022-09-05 18:26:07.474185+02
4|1662395181.868120|2022-09-05 18:26:21.86812+02|0/29370FF8|0|1|34|170|2966|0|0|161945|0|58728|2022-09-05 18:26:07.474185+02
5|1662395182.880239|2022-09-05 18:26:22.880239+02|0/2968AF48|0|1|34|170|2966|0|0|161945|0|63334|2022-09-05 18:26:07.474185+02
6|1662395183.894688|2022-09-05 18:26:23.894688+02|0/29B11E40|0|1|34|170|2966|0|0|161945|0|69334|2022-09-05 18:26:07.474185+02
7|1662395184.905873|2022-09-05 18:26:24.905873+02|0/29F92D28|0|1|34|170|2966|0|0|161945|0|74503|2022-09-05 18:26:07.474185+02
8|1662395185.918089|2022-09-05 18:26:25.918089+02|0/2A3F5648|0|1|34|170|2966|0|0|161945|0|78798|2022-09-05 18:26:07.474185+02
9|1662395186.929215|2022-09-05 18:26:26.929215+02|0/2A84C5A0|0|1|34|170|2966|0|0|161945|0|82431|2022-09-05 18:26:07.474185+02
10|1662395187.939776|2022-09-05 18:26:27.939776+02|0/2AC57A28|0|1|34|170|2966|0|0|161945|0|85325|2022-09-05 18:26:07.474185+02
11|1662395188.949549|2022-09-05 18:26:28.949549+02|0/2B0A4758|0|1|34|170|2966|0|0|161945|0|88055|2022-09-05 18:26:07.474185+02
12|1662395189.960292|2022-09-05 18:26:29.960292+02|0/2B4E1DA0|0|1|34|170|2966|0|0|161945|0|90148|2022-09-05 18:26:07.474185+02
13|1662395190.970971|2022-09-05 18:26:30.970971+02|0/2B91A500|0|1|34|170|2966|0|0|161945|0|91956|2022-09-05 18:26:07.474185+02
14|1662395191.983870|2022-09-05 18:26:31.98387+02|0/2BD2F3C0|0|1|34|170|2966|0|0|161945|0|93479|2022-09-05 18:26:07.474185+02
15|1662395192.996466|2022-09-05 18:26:32.996466+02|0/2C0FDC10|0|1|34|170|2966|0|0|161945|0|94669|2022-09-05 18:26:07.474185+02
16|1662395194.008442|2022-09-05 18:26:34.008442+02|0/2C51A8A0|0|1|34|170|2966|0|0|161945|0|95800|2022-09-05 18:26:07.474185+02
17|1662395195.021546|2022-09-05 18:26:35.021546+02|0/2C935C70|0|1|34|170|2966|0|0|161945|0|96872|2022-09-05 18:26:07.474185+02
18|1662395196.032775|2022-09-05 18:26:36.032775+02|0/2CD46210|0|1|34|170|2966|0|0|161945|0|97561|2022-09-05 18:26:07.474185+02
19|1662395197.042983|2022-09-05 18:26:37.042983+02|0/2D152870|0|1|34|170|2966|0|0|161945|0|98227|2022-09-05 18:26:07.474185+02
20|1662395198.055494|2022-09-05 18:26:38.055494+02|0/2D515F60|0|1|34|170|2966|0|0|161945|0|98739|2022-09-05 18:26:07.474185+02
