run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662804006.110094|2022-09-10 12:00:06.110094+02|48/A5DE30|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386693541|2022-09-10 08:26:29.983344+02
1|1662804007.123778|2022-09-10 12:00:07.123778+02|48/11479F30|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386725578|2022-09-10 08:26:29.983344+02
2|1662804008.137453|2022-09-10 12:00:08.137453+02|48/1C7D4308|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386746954|2022-09-10 08:26:29.983344+02
3|1662804009.150888|2022-09-10 12:00:09.150888+02|48/263E6D50|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386765353|2022-09-10 08:26:29.983344+02
4|1662804010.163777|2022-09-10 12:00:10.163777+02|48/301381C0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386784060|2022-09-10 08:26:29.983344+02
5|1662804011.177557|2022-09-10 12:00:11.177557+02|48/36FD9150|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386797570|2022-09-10 08:26:29.983344+02
6|1662804012.191882|2022-09-10 12:00:12.191882+02|48/3C56EC78|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386807652|2022-09-10 08:26:29.983344+02
7|1662804013.206916|2022-09-10 12:00:13.206916+02|48/4189EED8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386817534|2022-09-10 08:26:29.983344+02
8|1662804014.221452|2022-09-10 12:00:14.221452+02|48/46C1BE50|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386827312|2022-09-10 08:26:29.983344+02
9|1662804015.235162|2022-09-10 12:00:15.235162+02|48/50A23330|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386845485|2022-09-10 08:26:29.983344+02
10|1662804016.248777|2022-09-10 12:00:16.248777+02|48/57AF9A90|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386859994|2022-09-10 08:26:29.983344+02
11|1662804017.262953|2022-09-10 12:00:17.262953+02|48/5CD144E8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386869841|2022-09-10 08:26:29.983344+02
12|1662804018.277549|2022-09-10 12:00:18.277549+02|48/6397F048|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386881470|2022-09-10 08:26:29.983344+02
13|1662804019.291547|2022-09-10 12:00:19.291547+02|48/6D641788|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386900470|2022-09-10 08:26:29.983344+02
14|1662804020.305633|2022-09-10 12:00:20.305633+02|48/7783D880|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386919707|2022-09-10 08:26:29.983344+02
15|1662804021.319329|2022-09-10 12:00:21.319329+02|48/7E563188|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386934884|2022-09-10 08:26:29.983344+02
16|1662804022.333031|2022-09-10 12:00:22.333031+02|48/838234E0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386944773|2022-09-10 08:26:29.983344+02
17|1662804023.346138|2022-09-10 12:00:23.346138+02|48/88B2C460|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386956703|2022-09-10 08:26:29.983344+02
18|1662804024.358886|2022-09-10 12:00:24.358886+02|48/924EE098|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386975296|2022-09-10 08:26:29.983344+02
19|1662804025.372497|2022-09-10 12:00:25.372497+02|48/9C66AEE0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|386994902|2022-09-10 08:26:29.983344+02
20|1662804026.386895|2022-09-10 12:00:26.386895+02|48/A2F45DA0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387008054|2022-09-10 08:26:29.983344+02
21|1662804027.401474|2022-09-10 12:00:27.401474+02|48/A7FED9A0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387017831|2022-09-10 08:26:29.983344+02
22|1662804028.415410|2022-09-10 12:00:28.41541+02|48/AD972648|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387028164|2022-09-10 08:26:29.983344+02
23|1662804029.428988|2022-09-10 12:00:29.428988+02|48/B7E0C6B8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387048362|2022-09-10 08:26:29.983344+02
24|1662804030.441899|2022-09-10 12:00:30.441899+02|48/C20968A8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387068266|2022-09-10 08:26:29.983344+02
25|1662804031.456267|2022-09-10 12:00:31.456267+02|48/C8DBD678|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387082539|2022-09-10 08:26:29.983344+02
26|1662804032.470567|2022-09-10 12:00:32.470567+02|48/CDF4F518|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387092564|2022-09-10 08:26:29.983344+02
27|1662804033.485025|2022-09-10 12:00:33.485025+02|48/D3116A48|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387102568|2022-09-10 08:26:29.983344+02
28|1662804034.498654|2022-09-10 12:00:34.498654+02|48/DD45DD80|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387121366|2022-09-10 08:26:29.983344+02
29|1662804035.512338|2022-09-10 12:00:35.512338+02|48/E7589EA8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387141213|2022-09-10 08:26:29.983344+02
30|1662804036.526624|2022-09-10 12:00:36.526624+02|48/EE005070|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387156020|2022-09-10 08:26:29.983344+02
31|1662804037.540104|2022-09-10 12:00:37.540104+02|48/F32238B0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387166294|2022-09-10 08:26:29.983344+02
32|1662804038.554152|2022-09-10 12:00:38.554152+02|48/F8A184B0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387176271|2022-09-10 08:26:29.983344+02
33|1662804039.567996|2022-09-10 12:00:39.567996+02|49/3171E40|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387195896|2022-09-10 08:26:29.983344+02
34|1662804040.581956|2022-09-10 12:00:40.581956+02|49/D063028|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387219834|2022-09-10 08:26:29.983344+02
35|1662804041.596582|2022-09-10 12:00:41.596582+02|49/137339C0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387232858|2022-09-10 08:26:29.983344+02
36|1662804042.611428|2022-09-10 12:00:42.611428+02|49/188AB4D8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387243138|2022-09-10 08:26:29.983344+02
37|1662804043.625366|2022-09-10 12:00:43.625366+02|49/1DD83128|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387253271|2022-09-10 08:26:29.983344+02
38|1662804044.639499|2022-09-10 12:00:44.639499+02|49/2808B828|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387273682|2022-09-10 08:26:29.983344+02
39|1662804045.653324|2022-09-10 12:00:45.653324+02|49/320C1E88|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387293786|2022-09-10 08:26:29.983344+02
40|1662804046.667305|2022-09-10 12:00:46.667305+02|49/38A9DF00|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387307798|2022-09-10 08:26:29.983344+02
41|1662804047.681346|2022-09-10 12:00:47.681346+02|49/3DC47818|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387318149|2022-09-10 08:26:29.983344+02
42|1662804048.695590|2022-09-10 12:00:48.69559+02|49/4361DC30|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387328514|2022-09-10 08:26:29.983344+02
43|1662804049.709529|2022-09-10 12:00:49.709529+02|49/4DD71C60|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387349526|2022-09-10 08:26:29.983344+02
44|1662804050.724219|2022-09-10 12:00:50.724219+02|49/5824F120|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387370314|2022-09-10 08:26:29.983344+02
45|1662804051.738782|2022-09-10 12:00:51.738782+02|49/5E745138|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387384627|2022-09-10 08:26:29.983344+02
46|1662804052.753357|2022-09-10 12:00:52.753357+02|49/637C4AB8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387394828|2022-09-10 08:26:29.983344+02
47|1662804053.766598|2022-09-10 12:00:53.766598+02|49/68E344B8|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387404952|2022-09-10 08:26:29.983344+02
48|1662804054.780644|2022-09-10 12:00:54.780644+02|49/7319CBB0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387424778|2022-09-10 08:26:29.983344+02
49|1662804055.794246|2022-09-10 12:00:55.794246+02|49/7D3002E0|12|6|5760338|11088|2321663|2383580|23821|104681495|0|387445459|2022-09-10 08:26:29.983344+02
