run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662320535.335196|2022-09-04 21:42:15.335196+02|4/234EFF90|5|3|2499911|2394|293330|349186|2238|1391765|0|66077907|2022-09-04 20:23:18.353372+02
1|1662320536.345012|2022-09-04 21:42:16.345012+02|4/23AD0990|5|3|2499911|2394|293330|349186|2238|1391765|0|66093564|2022-09-04 20:23:18.353372+02
2|1662320537.358161|2022-09-04 21:42:17.358161+02|4/240BBCB0|5|3|2499911|2394|293330|349186|2238|1391765|0|66109563|2022-09-04 20:23:18.353372+02
3|1662320538.370826|2022-09-04 21:42:18.370826+02|4/2467E6B0|5|3|2499911|2394|293330|349186|2238|1391765|0|66125497|2022-09-04 20:23:18.353372+02
4|1662320539.386917|2022-09-04 21:42:19.386917+02|4/24BFD310|5|3|2499911|2394|293330|349186|2238|1391765|0|66140595|2022-09-04 20:23:18.353372+02
5|1662320540.398693|2022-09-04 21:42:20.398693+02|4/25197CF0|5|3|2499911|2394|293330|349186|2238|1391765|0|66156371|2022-09-04 20:23:18.353372+02
6|1662320541.410938|2022-09-04 21:42:21.410938+02|4/256C3948|5|3|2499911|2394|293330|349520|2241|1391765|0|66171305|2022-09-04 20:23:18.353372+02
7|1662320542.421077|2022-09-04 21:42:22.421077+02|4/25995E78|5|3|2499911|2394|293330|350020|2246|1391765|0|66180252|2022-09-04 20:23:18.353372+02
8|1662320543.431088|2022-09-04 21:42:23.431088+02|4/25D67068|5|3|2499911|2394|293330|350520|2251|1391765|0|66191074|2022-09-04 20:23:18.353372+02
9|1662320544.445933|2022-09-04 21:42:24.445933+02|4/25F65BE0|5|3|2499911|2394|293330|351020|2256|1391765|0|66196144|2022-09-04 20:23:18.353372+02
10|1662320545.458620|2022-09-04 21:42:25.45862+02|4/261B5310|5|3|2499911|2394|293330|351520|2261|1391765|0|66203606|2022-09-04 20:23:18.353372+02
11|1662320546.473783|2022-09-04 21:42:26.473783+02|4/2658A288|5|3|2499911|2394|293330|352020|2266|1391765|0|66213503|2022-09-04 20:23:18.353372+02
12|1662320547.488255|2022-09-04 21:42:27.488255+02|4/267571A0|5|3|2499911|2394|293330|352520|2271|1391765|0|66218566|2022-09-04 20:23:18.353372+02
13|1662320548.499514|2022-09-04 21:42:28.499514+02|4/269D3048|5|3|2499911|2394|293330|353020|2276|1391765|0|66226790|2022-09-04 20:23:18.353372+02
14|1662320549.511661|2022-09-04 21:42:29.511661+02|4/26D25A70|5|3|2499911|2394|293330|353520|2281|1453068|0|66235060|2022-09-04 20:23:18.353372+02
15|1662320550.523883|2022-09-04 21:42:30.523883+02|4/26EA9528|5|3|2499911|2394|293330|354020|2286|1453068|0|66239429|2022-09-04 20:23:18.353372+02
16|1662320551.536612|2022-09-04 21:42:31.536612+02|4/271BF370|5|3|2499911|2394|293330|354520|2291|1453068|0|66249631|2022-09-04 20:23:18.353372+02
17|1662320552.548247|2022-09-04 21:42:32.548247+02|4/273E6448|5|3|2499911|2394|293330|355020|2296|1453068|0|66254751|2022-09-04 20:23:18.353372+02
18|1662320553.559447|2022-09-04 21:42:33.559447+02|4/275CEA10|5|3|2499911|2394|293330|355520|2301|1453068|0|66261658|2022-09-04 20:23:18.353372+02
19|1662320554.569840|2022-09-04 21:42:34.56984+02|4/279164B8|5|3|2499911|2394|293330|356020|2306|1453068|0|66270151|2022-09-04 20:23:18.353372+02
20|1662320555.580839|2022-09-04 21:42:35.580839+02|4/27A48FE0|5|3|2499911|2394|293330|356520|2311|1453068|0|66273653|2022-09-04 20:23:18.353372+02
21|1662320556.591901|2022-09-04 21:42:36.591901+02|4/27D626C8|5|3|2499911|2394|293330|357020|2316|1453068|0|66284178|2022-09-04 20:23:18.353372+02
22|1662320557.601353|2022-09-04 21:42:37.601353+02|4/27FE3F18|5|3|2499911|2394|293330|357520|2321|1453068|0|66290380|2022-09-04 20:23:18.353372+02
23|1662320558.613207|2022-09-04 21:42:38.613207+02|4/2817D450|5|3|2499911|2394|293330|358020|2326|1453068|0|66296403|2022-09-04 20:23:18.353372+02
24|1662320559.625125|2022-09-04 21:42:39.625125+02|4/284F5938|5|3|2499911|2394|293330|358520|2331|1513904|0|66306949|2022-09-04 20:23:18.353372+02
25|1662320560.638754|2022-09-04 21:42:40.638754+02|4/286E00D8|5|3|2499911|2394|293330|359020|2336|1513904|0|66311550|2022-09-04 20:23:18.353372+02
26|1662320561.650109|2022-09-04 21:42:41.650109+02|4/288EEA80|5|3|2499911|2394|293330|359520|2341|1513904|0|66319086|2022-09-04 20:23:18.353372+02
27|1662320562.660717|2022-09-04 21:42:42.660717+02|4/28C6AF48|5|3|2499911|2394|293330|360020|2346|1513904|0|66329148|2022-09-04 20:23:18.353372+02
28|1662320563.672183|2022-09-04 21:42:43.672183+02|4/28DBF820|5|3|2499911|2394|293330|360520|2351|1513904|0|66332582|2022-09-04 20:23:18.353372+02
