run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662766134.090420|2022-09-10 01:28:54.09042+02|19/BF7CA000|9|4|4987861|13513|309835|3238289|32119|116986454|0|422339828|2022-09-09 23:06:49.027435+02
1|1662766135.106381|2022-09-10 01:28:55.106381+02|19/BF7CA848|9|4|4987861|13513|309835|3238503|32120|116986454|0|422691431|2022-09-09 23:06:49.027435+02
2|1662766136.127396|2022-09-10 01:28:56.127396+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|423103975|2022-09-09 23:06:49.027435+02
3|1662766137.148283|2022-09-10 01:28:57.148283+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|423522333|2022-09-09 23:06:49.027435+02
4|1662766138.170569|2022-09-10 01:28:58.170569+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|423893166|2022-09-09 23:06:49.027435+02
5|1662766139.195613|2022-09-10 01:28:59.195613+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|424304746|2022-09-09 23:06:49.027435+02
6|1662766140.222127|2022-09-10 01:29:00.222127+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|424730580|2022-09-09 23:06:49.027435+02
7|1662766141.247566|2022-09-10 01:29:01.247566+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|425157754|2022-09-09 23:06:49.027435+02
8|1662766142.274075|2022-09-10 01:29:02.274075+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|425587287|2022-09-09 23:06:49.027435+02
9|1662766143.300220|2022-09-10 01:29:03.30022+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|426017831|2022-09-09 23:06:49.027435+02
10|1662766144.326190|2022-09-10 01:29:04.32619+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|426449886|2022-09-09 23:06:49.027435+02
11|1662766145.351823|2022-09-10 01:29:05.351823+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|426882065|2022-09-09 23:06:49.027435+02
12|1662766146.377069|2022-09-10 01:29:06.377069+02|19/BF7CA880|9|4|4987861|13513|309835|3238655|32121|116986454|0|427316438|2022-09-09 23:06:49.027435+02
