run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662608901.049920|2022-09-08 05:48:21.04992+02|5/E94E3608|5|3|2494729|1175|289813|474660|3756|1572766|0|95241851|2022-09-08 04:30:30.834197+02
1|1662608902.058608|2022-09-08 05:48:22.058608+02|5/F50C8AE0|5|3|2494729|1175|289813|474660|3756|1572766|0|95255636|2022-09-08 04:30:30.834197+02
2|1662608903.068482|2022-09-08 05:48:23.068482+02|6/3DAB28|5|3|2494729|1175|289813|474660|3756|1572766|0|95270058|2022-09-08 04:30:30.834197+02
3|1662608904.080045|2022-09-08 05:48:24.080045+02|6/A796788|5|3|2494729|1175|289813|474660|3756|1572766|0|95284712|2022-09-08 04:30:30.834197+02
4|1662608905.091279|2022-09-08 05:48:25.091279+02|6/14105768|5|3|2494729|1175|289813|474660|3756|1572766|0|95299800|2022-09-08 04:30:30.834197+02
5|1662608906.101930|2022-09-08 05:48:26.10193+02|6/1CF42438|5|3|2494729|1175|289813|474660|3756|1572766|0|95315120|2022-09-08 04:30:30.834197+02
6|1662608907.111990|2022-09-08 05:48:27.11199+02|6/2543AC28|5|3|2494729|1175|289813|474844|3757|1572766|0|95330446|2022-09-08 04:30:30.834197+02
7|1662608908.123576|2022-09-08 05:48:28.123576+02|6/2CD51728|5|3|2494729|1175|289813|475344|3762|1572766|0|95345736|2022-09-08 04:30:30.834197+02
8|1662608909.134290|2022-09-08 05:48:29.13429+02|6/33FFCB98|5|3|2494729|1175|289813|475844|3767|1572766|0|95360870|2022-09-08 04:30:30.834197+02
9|1662608910.145618|2022-09-08 05:48:30.145618+02|6/3ADD9A30|5|3|2494729|1175|289813|476344|3772|1572766|0|95376007|2022-09-08 04:30:30.834197+02
10|1662608911.156435|2022-09-08 05:48:31.156435+02|6/41726848|5|3|2494729|1175|289813|476844|3777|1572766|0|95391409|2022-09-08 04:30:30.834197+02
11|1662608912.168342|2022-09-08 05:48:32.168342+02|6/47961A80|5|3|2494729|1175|289813|477344|3782|1635918|0|95406700|2022-09-08 04:30:30.834197+02
