  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:05 init [3]
    2 ?        S    218:21 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    5 ?        I<     0:00 [netns]
    7 ?        I<     0:00 [kworker/0:0H-events_highpri]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        I      0:00 [rcu_tasks_kthread]
   11 ?        S      0:15 [ksoftirqd/0]
   12 ?        I     13:32 [rcu_preempt]
   13 ?        S      0:00 [migration/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:00 [migration/1]
   17 ?        S      0:16 [ksoftirqd/1]
   19 ?        I<     0:00 [kworker/1:0H-events_highpri]
   20 ?        S      0:00 [cpuhp/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:17 [ksoftirqd/2]
   24 ?        I<     0:00 [kworker/2:0H-kblockd]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:01 [migration/3]
   27 ?        S     19:28 [ksoftirqd/3]
   29 ?        I<     0:00 [kworker/3:0H-events_highpri]
   30 ?        S      0:00 [kdevtmpfs]
   31 ?        I<     0:00 [inet_frag_wq]
   32 ?        S      0:00 [kauditd]
   35 ?        S      0:00 [oom_reaper]
   36 ?        I<     0:00 [writeback]
   37 ?        S      3:58 [kcompactd0]
   38 ?        I<     0:00 [pencrypt_serial]
   39 ?        I<     0:00 [pdecrypt_serial]
   40 ?        I<     0:00 [cryptd]
   41 ?        I<     0:00 [kintegrityd]
   42 ?        I<     0:00 [kblockd]
   43 ?        I<     0:00 [blkcg_punt_bio]
   44 ?        I<     0:00 [ata_sff]
   45 ?        I<     0:00 [md]
   46 ?        I<     0:00 [edac-poller]
   47 ?        S      0:00 [watchdogd]
   49 ?        I<    24:32 [kworker/0:1H-kblockd]
   50 ?        I<     0:00 [rpciod]
   51 ?        I<     0:00 [xprtiod]
  110 ?        S     23:03 [kswapd0]
  112 ?        I<     0:00 [nfsiod]
  114 ?        I<     0:00 [xfsalloc]
  115 ?        I<     0:00 [xfs_mru_cache]
  165 ?        I<     0:00 [acpi_thermal_pm]
  193 ?        S      0:00 [card0-crtc0]
  194 ?        S      0:00 [card0-crtc1]
  204 ?        I<    57:28 [kworker/3:1H-kblockd]
  205 ?        I<    24:12 [kworker/1:1H-kblockd]
  275 ?        S      0:00 [scsi_eh_0]
  276 ?        I<     0:00 [scsi_tmf_0]
  280 ?        S      0:00 [scsi_eh_1]
  281 ?        I<     0:00 [scsi_tmf_1]
  285 ?        S      0:00 [scsi_eh_2]
  286 ?        I<     0:00 [scsi_tmf_2]
  290 ?        S      0:00 [scsi_eh_3]
  291 ?        I<     0:00 [scsi_tmf_3]
  295 ?        S      0:00 [scsi_eh_4]
  296 ?        I<     0:00 [scsi_tmf_4]
  300 ?        S      0:00 [scsi_eh_5]
  301 ?        I<     0:00 [scsi_tmf_5]
  317 ?        S      0:00 [scsi_eh_6]
  318 ?        I<     0:00 [scsi_tmf_6]
  322 ?        S      0:00 [scsi_eh_7]
  323 ?        I<     0:00 [scsi_tmf_7]
  336 ?        S      0:00 [scsi_eh_8]
  337 ?        I<     0:00 [scsi_tmf_8]
  341 ?        S      0:00 [scsi_eh_9]
  342 ?        I<     0:00 [scsi_tmf_9]
  407 ?        I<     0:00 [raid5wq]
  408 ?        I<     0:00 [bch_btree_io]
  409 ?        I<     0:00 [bcache]
  411 ?        I<     0:00 [bch_journal]
  413 ?        I<     0:00 [dm_bufio_cache]
  414 ?        I<     0:00 [kmpathd]
  415 ?        I<     0:00 [kmpath_handlerd]
  451 ?        I<     0:00 [mld]
  454 ?        I<     0:00 [ipv6_addrconf]
  537 ?        I<     0:00 [kworker/u9:1-btrfs-worker-high]
  699 ?        Ss     0:00 /usr/sbin/anacron -s
  721 ?        I<    23:58 [kworker/2:1H-kblockd]
  722 ?        I<     0:00 [xfs-buf/sdg2]
  723 ?        I<     0:00 [xfs-conv/sdg2]
  724 ?        I<     0:00 [xfs-reclaim/sdg]
  725 ?        I<     0:00 [xfs-blockgc/sdg]
  726 ?        I<     0:00 [xfs-inodegc/sdg]
  727 ?        I<     0:00 [xfs-log/sdg2]
  728 ?        I<     0:00 [xfs-cil/sdg2]
  729 ?        S      1:31 [xfsaild/sdg2]
 1227 ?        Ss     0:01 /lib/systemd/systemd-udevd
 1273 ?        Ss     0:00 sshd: root@pts/0
 1276 pts/0    Ss+    0:00 -bash
 2031 ?        I      0:00 [kworker/3:0-events]
 2122 ?        S      0:00 supervising syslog-ng
 2123 ?        Ssl    0:10 /usr/sbin/syslog-ng --cfgfile /etc/syslog-ng/syslog-ng.conf --control /run/syslog-ng.ctl --persist-file /var/lib/syslog-ng/syslog-ng.persist --pidfile /run/syslog-ng.pid
 2155 ?        Ss     0:02 /usr/sbin/crond
 2185 ?        S      0:00 dhcpcd: [manager] [ip4] [ip6]
 2277 ?        I      0:00 [kworker/2:2-events_freezable_power_]
 2294 ?        Ss     0:00 sshd: /usr/sbin/sshd -o PidFile=/run/sshd.pid -f /etc/ssh/sshd_config [listener] 0 of 10-100 startups
 2331 tty1     Ss+    0:00 /sbin/agetty --noclear 38400 tty1 linux
 2332 tty2     Ss+    0:00 /sbin/agetty 38400 tty2 linux
 2333 tty3     Ss+    0:00 /sbin/agetty 38400 tty3 linux
 2334 tty4     Ss+    0:00 /sbin/agetty 38400 tty4 linux
 2335 tty5     Ss+    0:00 /sbin/agetty 38400 tty5 linux
 2337 tty6     Ss+    0:00 /sbin/agetty 38400 tty6 linux
 2378 ?        S<     0:00 [spl_system_task]
 2380 ?        S<     0:00 [spl_delay_taskq]
 2381 ?        S<   110:47 [spl_dynamic_tas]
 2382 ?        S<     5:23 [spl_kmem_cache]
 2384 ?        S<     0:00 [zvol]
 2385 ?        S      0:00 [arc_prune]
 2386 ?        S     78:31 [arc_evict]
 2387 ?        SN     0:04 [arc_reap]
 2388 ?        S      0:05 [dbu_evict]
 2389 ?        SN   302:43 [dbuf_evict]
 2390 ?        SN     0:00 [z_vdev_file]
 2391 ?        S      0:04 [l2arc_feed]
 2525 ?        I      0:00 [kworker/u8:0-btrfs-worker]
 2984 ?        S      0:00 /usr/sbin/CROND
 2985 ?        Ss     0:00 /usr/lib/sa/sadc -F -L -S XALL 5 12 /var/log/sa
 3008 ?        I      0:00 [kworker/0:2-mm_percpu_wq]
 3012 ?        I      0:00 [kworker/0:3-events]
 3036 ?        S      0:00 /lib/systemd/systemd-udevd
 3037 ?        I<     0:00 [btrfs-worker]
 3038 ?        I<     0:00 [btrfs-worker-hi]
 3039 ?        I<     0:00 [btrfs-delalloc]
 3040 ?        I<     0:00 [btrfs-flush_del]
 3041 ?        I<     0:00 [btrfs-cache]
 3042 ?        I<     0:00 [btrfs-fixup]
 3043 ?        I<     0:00 [btrfs-endio]
 3044 ?        I<     0:00 [btrfs-endio-met]
 3045 ?        I<     0:00 [btrfs-endio-met]
 3046 ?        I<     0:00 [btrfs-endio-rai]
 3047 ?        I<     0:00 [btrfs-rmw]
 3048 ?        I<     0:00 [btrfs-endio-wri]
 3049 ?        I<     0:00 [btrfs-freespace]
 3050 ?        I<     0:00 [btrfs-delayed-m]
 3051 ?        I<     0:00 [btrfs-qgroup-re]
 3052 ?        S      0:00 [btrfs-cleaner]
 3053 ?        S      0:00 [btrfs-transaction]
 3072 ?        Ss     0:00 /var/lib/postgresql/pg-master/bin/postgres -D /mnt/data/pgdata
 3073 ?        Ss     0:00 postgres: checkpointer 
 3074 ?        Ss     0:00 postgres: background writer 
 3076 ?        Ss     0:00 postgres: walwriter 
 3077 ?        Ss     0:00 postgres: autovacuum launcher 
 3078 ?        Ss     0:00 postgres: logical replication launcher 
 3079 pts/2    R+     0:00 ps ax
 4285 ?        I      2:10 [kworker/u8:5-btrfs-worker]
 6276 ?        Ss     0:01 SCREEN
 6277 pts/2    Ss     0:00 -/bin/bash
 6287 pts/2    S      0:00 su - postgres
 6289 pts/2    S      0:00 -sh
 6511 ?        I      0:00 [kworker/2:0-mm_percpu_wq]
10441 pts/2    S+     0:00 /bin/bash -x ./run-pgbench-btrfs.sh 20220906
11296 ?        I      1:26 [kworker/u8:1-btrfs-worker]
12014 ?        I      0:00 [kworker/0:1-events_freezable_power_]
12231 ?        I      1:07 [kworker/u8:2-btrfs-worker]
12232 ?        I      1:25 [kworker/u8:3-btrfs-worker]
12233 ?        I      1:00 [kworker/u8:7-btrfs-worker]
12787 ?        I      0:00 [kworker/0:0-events_power_efficient]
13362 ?        I      0:00 [kworker/1:0-xfs-conv/sdg2]
13578 ?        I      0:59 [kworker/u8:9-btrfs-endio-write]
13757 ?        I      1:03 [kworker/u8:11-btrfs-worker]
14008 ?        I      0:59 [kworker/u8:12-btrfs-endio-write]
17442 ?        I      0:55 [kworker/u8:13-btrfs-endio-raid56]
18164 ?        I      2:47 [kworker/u8:6-btrfs-endio-write]
18855 ?        I      3:04 [kworker/u8:14-writeback]
19815 ?        I      0:45 [kworker/u8:8-btrfs-worker]
22549 ?        I<     0:00 [kworker/u9:2-btrfs-worker-high]
22743 ?        I      0:39 [kworker/u8:4-btrfs-worker]
22958 ?        I      0:00 [kworker/1:1-events_freezable_power_]
24602 ?        I      0:25 [kworker/u8:15-btrfs-endio-write]
30333 ?        I      0:00 [kworker/3:2-mm_percpu_wq]
32382 ?        I      0:00 [kworker/3:1-mm_percpu_wq]
