run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662885829.771033|2022-09-11 10:43:49.771033+02|19/E4589E38|6|3|2588996|324|1957602|812651|8071|6007397|0|203631977|2022-09-11 09:07:57.462982+02
1|1662885830.783755|2022-09-11 10:43:50.783755+02|19/FD894D18|6|3|2588996|324|1957602|812651|8071|6007397|0|203647021|2022-09-11 09:07:57.462982+02
2|1662885831.798009|2022-09-11 10:43:51.798009+02|1A/18E2E4B0|6|3|2588996|324|1957602|812651|8071|6007397|0|203664313|2022-09-11 09:07:57.462982+02
3|1662885832.811761|2022-09-11 10:43:52.811761+02|1A/3439D2E0|6|3|2588996|324|1957602|812651|8071|6007397|0|203682498|2022-09-11 09:07:57.462982+02
4|1662885833.826252|2022-09-11 10:43:53.826252+02|1A/4E4DC9A0|6|3|2588996|324|1957602|812651|8071|6007397|0|203700809|2022-09-11 09:07:57.462982+02
5|1662885834.839820|2022-09-11 10:43:54.83982+02|1A/67DA1C18|6|3|2588996|324|1957602|812651|8071|6007397|0|203719760|2022-09-11 09:07:57.462982+02
6|1662885835.854536|2022-09-11 10:43:55.854536+02|1A/80F23488|6|3|2588996|324|1957602|812651|8071|6007397|0|203739631|2022-09-11 09:07:57.462982+02
7|1662885836.868981|2022-09-11 10:43:56.868981+02|1A/99B54F80|6|3|2588996|324|1957602|812651|8071|6007397|0|203760551|2022-09-11 09:07:57.462982+02
8|1662885837.882871|2022-09-11 10:43:57.882871+02|1A/B1AFF6A0|6|3|2588996|324|1957602|812651|8071|6007397|0|203782067|2022-09-11 09:07:57.462982+02
9|1662885838.896652|2022-09-11 10:43:58.896652+02|1A/C8CF7250|6|3|2588996|324|1957602|812651|8071|6007397|0|203803765|2022-09-11 09:07:57.462982+02
10|1662885839.910663|2022-09-11 10:43:59.910663+02|1A/DF688F18|6|3|2588996|324|1957602|812651|8071|6007397|0|203826340|2022-09-11 09:07:57.462982+02
11|1662885840.925645|2022-09-11 10:44:00.925645+02|1A/F5BDD360|6|3|2588996|324|1957602|812651|8071|6007397|0|203850095|2022-09-11 09:07:57.462982+02
12|1662885841.940007|2022-09-11 10:44:01.940007+02|1B/B3214F0|6|3|2588996|324|1957602|812651|8071|6007397|0|203873669|2022-09-11 09:07:57.462982+02
13|1662885842.954066|2022-09-11 10:44:02.954066+02|1B/2009B030|6|3|2588996|324|1957602|812651|8071|6007397|0|203898056|2022-09-11 09:07:57.462982+02
14|1662885843.968394|2022-09-11 10:44:03.968394+02|1B/34781858|6|3|2588996|324|1957602|812651|8071|6007397|0|203923196|2022-09-11 09:07:57.462982+02
15|1662885844.983268|2022-09-11 10:44:04.983268+02|1B/489148F0|6|3|2588996|324|1957602|812651|8071|6007397|0|203948755|2022-09-11 09:07:57.462982+02
16|1662885845.997853|2022-09-11 10:44:05.997853+02|1B/5C67BBD0|6|3|2588996|324|1957602|812651|8071|6007397|0|203975701|2022-09-11 09:07:57.462982+02
17|1662885847.012636|2022-09-11 10:44:07.012636+02|1B/6F45FEE8|6|3|2588996|324|1957602|812651|8071|6007397|0|204007938|2022-09-11 09:07:57.462982+02
18|1662885848.027518|2022-09-11 10:44:08.027518+02|1B/81C15108|6|3|2588996|324|1957602|812651|8071|6007397|0|204035132|2022-09-11 09:07:57.462982+02
19|1662885849.042168|2022-09-11 10:44:09.042168+02|1B/93F50000|6|3|2588996|324|1957602|812651|8071|6007397|0|204063093|2022-09-11 09:07:57.462982+02
20|1662885850.057295|2022-09-11 10:44:10.057295+02|1B/A5AC0570|6|3|2588996|324|1957602|812651|8071|6007397|0|204091645|2022-09-11 09:07:57.462982+02
21|1662885851.072450|2022-09-11 10:44:11.07245+02|1B/B7303DA8|6|3|2588996|324|1957602|812651|8071|6007397|0|204121707|2022-09-11 09:07:57.462982+02
22|1662885852.087272|2022-09-11 10:44:12.087272+02|1B/C8534068|6|3|2588996|324|1957602|812949|8073|6007397|0|204151571|2022-09-11 09:07:57.462982+02
23|1662885853.102529|2022-09-11 10:44:13.102529+02|1B/D8B1E8F8|6|3|2588996|324|1957602|813449|8078|6007397|0|204181750|2022-09-11 09:07:57.462982+02
24|1662885854.116849|2022-09-11 10:44:14.116849+02|1B/E899FB20|6|3|2588996|324|1957602|813949|8083|6007397|0|204212007|2022-09-11 09:07:57.462982+02
25|1662885855.132169|2022-09-11 10:44:15.132169+02|1B/F8293778|6|3|2588996|324|1957602|814449|8088|6007397|0|204242622|2022-09-11 09:07:57.462982+02
26|1662885856.147263|2022-09-11 10:44:16.147263+02|1C/7413708|6|3|2588996|324|1957602|814949|8093|6007397|0|204273612|2022-09-11 09:07:57.462982+02
27|1662885857.160965|2022-09-11 10:44:17.160965+02|1C/12D62B28|6|3|2588996|324|1957602|815449|8098|6007397|0|204300692|2022-09-11 09:07:57.462982+02
28|1662885858.175244|2022-09-11 10:44:18.175244+02|1C/205EFA48|6|3|2588996|324|1957602|815949|8103|6007397|0|204327659|2022-09-11 09:07:57.462982+02
29|1662885859.191205|2022-09-11 10:44:19.191205+02|1C/2C732540|6|3|2588996|324|1957602|816449|8108|6007397|0|204354793|2022-09-11 09:07:57.462982+02
30|1662885860.206686|2022-09-11 10:44:20.206686+02|1C/37DF6CE8|6|3|2588996|324|1957602|816949|8113|6007397|0|204381244|2022-09-11 09:07:57.462982+02
31|1662885861.218639|2022-09-11 10:44:21.218639+02|1C/3F68E9E8|6|3|2588996|324|1957602|817449|8118|6007397|0|204402715|2022-09-11 09:07:57.462982+02
32|1662885862.232396|2022-09-11 10:44:22.232396+02|1C/488E1808|6|3|2588996|324|1957602|817949|8123|6007397|0|204421533|2022-09-11 09:07:57.462982+02
